Nome,Precos
['Cerveja SKOL  Lata 269ML 15 unidades'],"['R$34,35']"
['Cerveja EISENBAHN Pale Ale Puro Malte Lata 350ml'],"['R$4,69']"
['Cerveja PATAGONIA AMBER LAGER Garrafa 740ML'],"['R$12,99']"
['Cerveja Becks Puro Malte 330ml Long Neck'],"['R$5,79']"
['Cerveja Becks Puro Malte 350ml Lata'],"['R$4,79']"
['Cerveja Lager Premium Puro Malte Zero Álcool Heineken Garrafa 330ml'],"['R$5,29']"
['Cerveja Blue Moon Belgian White Garrafa 355ml'],"['R$15,99']"
['Cerveja FABRICA 1959 PILSEN Puro Malte Garrafa 500ml'],"['R$11,49']"
['Cerveja COLORADO Do Leme ao Pontal Garrafa 600ml'],"['R$13,29']"
['Cerveja Hoegaarden White 269ml Lata'],"['R$4,99']"
['Cerveja Colorado Demoiselle 600ml Garrafa'],"['R$12,99']"
['Cerveja BADEN BADEN Christmas Garrafa 600ml'],"['R$15,99']"
['Cerveja BOHEMIA Lata 350ml'],"['R$3,09']"
['Cerveja Malzbier Itaipava Garrafa 355ml'],"['R$3,59']"
['Cerveja Black Princess Gold 355ml'],"['R$3,09']"
['Cerveja Alemã PAULANER Hefe Weissbier sem Álcool Garrafa 500ml'],"['R$23,86']"
['Cerveja ITAIPAVA Lata 269ml'],"['R$1,89']"
['Cerveja Skol Pilsen 350ml Lata'],"['R$2,79']"
['Cerveja PATAGONIA WEISSE Garrafa 740ML'],"['R$12,99']"
['Cerveja HEINEKEN Garrafa 600ml - Caixa com 12 Unidades'],"['R$119,88']"
['Kit 6 Cervejas Eisenbahn Pilsen Puro Malte Long Neck 355ml + 1 Tradicional Burger Seara Gourmet 360g'],"['R$00,00']"
['Kit com 4 Cerveja Brasil EISENBAHN Weiss 355ml + 1 Kit Saint Peters com Purê de Abóbora e Arroz de Coco 340g'],"['R$47,15']"
['Cerveja ESTRELLA GALICIA sem Álcool Garrafa 250ml - Pack com 12 unidades'],"['R$00,00']"
['Kit de Cerveja Eisenbahn Ipa e Pale Ale harmonizados com Salame e Queijo Parmesão'],"['R$00,00']"
['Cerveja de Trigo HOEGAARDEN 330 ML Long Neck Pack c/ 6 unid'],"['R$35,94']"
['Kit 12 Cervejas Eisenbahn American Ipa Puro Malte Long Neck 355ml + 2 Gran Angus Burger Seara Gourmet 400g + 1 Bacon em Fatias Seara Gourmet 250g'],"['R$00,00']"
['Kit 12 Cervejas Heineken Lata 350ml + 1 Gran Angus Burger Seara Gourmet 400g'],"['R$00,00']"
